----------------Nom Prp Det Nom-------------------
      1 affaiblissement de cette famille
      1 adresse sur les brochures
      1 adjointe à la mairie
      1 adhérents de son choix
      1 actualité de la campagne
      1 accord sur la méthode
      1 accord avec le Front
      1 accent sur l' importance
      1 absence de l' environnement
      1 abandon depuis le début
      1 abandon de l' euro
